elevation,slope,aspect,tpi,ndvi,ndmi,ndwi,mndwi,ndfi,evi,ibi,ndbi,ui,mvi,nbr,savi,evi2,bui,kndvi
711,6,141,10,7709,2728,-6840,-5055,8577,4812,8074,-2728,-5713,2121,5713,4473,4450,-9846,3537
644,7,0,3,5474,76,-5329,-5282,2058,3175,-11430,-76,-2857,1031,2857,3018,2881,-8250,1595
632,5,301,8,7846,2682,-6799,-5035,8744,4615,7532,-2682,-5940,2098,5940,4281,4220,-10415,3048
527,7,135,-11,8052,2917,-7265,-5518,9102,4734,6858,-2917,-6119,2160,6119,4431,4388,-10617,3277
612,4,256,7,6207,1369,-5759,-4760,5850,3378,2852,-1369,-4036,1506,4036,3326,3190,-8114,1842
633,7,304,-11,7885,2601,-6955,-5313,8525,4727,6870,-2601,-5709,2019,5709,4360,4311,-10301,3199
621,3,236,7,8303,3354,-7337,-5286,9460,5460,9187,-3354,-6394,2465,6394,5004,5067,-10741,4511
667,1,225,-2,6426,1210,-5719,-4840,5329,3651,2741,-1210,-3686,1430,3686,3492,3368,-8248,2060
555,3,225,-3,6642,836,-5840,-5261,5218,3430,-708,-836,-3936,1265,3936,3343,3196,-9355,1742
634,7,353,3,6188,668,-5649,-5173,4708,3219,-2213,-668,-3771,1214,3771,3108,2953,-8938,1508
530,8,354,0,7994,2886,-7213,-5448,9007,4515,6627,-2886,-6121,2190,6121,4330,4278,-10574,3141
662,2,27,7,5907,482,-5627,-5289,4395,2861,-4302,-482,-3523,1147,3523,2914,2752,-8680,1306
590,1,135,-1,7578,2749,-6734,-4890,8727,4417,7699,-2749,-5727,2155,5727,4171,4101,-9635,2933
632,6,153,4,7941,2675,-6920,-5205,8635,5014,7762,-2675,-5922,2075,5922,4540,4522,-10543,3583
607,7,326,-7,7610,2742,-6846,-5052,8697,4792,7673,-2742,-5786,2128,5786,4332,4288,-9772,3264
644,8,159,-1,6893,1672,-6206,-5060,6529,4176,4830,-1672,-4946,1602,4946,3924,3840,-9475,2712
561,2,296,-15,8197,3589,-7343,-5101,9589,5490,9675,-3589,-6422,2663,6422,4980,5044,-10214,4522
610,5,90,1,7714,2657,-6893,-5185,8624,4481,6854,-2657,-5764,2060,5764,4193,4122,-10031,2919
632,3,270,-3,7953,2680,-6993,-5307,8694,4957,7379,-2680,-5929,2060,5929,4504,4478,-10571,3489
642,3,288,25,5923,833,-5589,-4977,4782,3121,-1162,-833,-3606,1292,3606,3025,2871,-8189,1460
520,5,112,-10,7724,2649,-7189,-5611,8715,4237,5552,-2649,-5760,2004,5760,4096,4010,-10056,2721
621,4,135,-1,7926,2812,-7141,-5411,8798,4929,7235,-2812,-5943,2126,5943,4518,4495,-10337,3531
654,1,270,3,6916,1597,-6081,-4965,6345,4076,4581,-1597,-4321,1575,4321,3785,3680,-8903,2418
582,2,180,0,4309,-114,-4873,-4964,223,2204,-12290,114,-1501,964,1501,2243,2089,-6019,833
671,5,121,-7,7560,2467,-6831,-5247,8368,4210,6041,-2467,-5544,1954,5544,4022,3930,-9823,2640
587,3,90,-5,7708,2343,-6845,-5366,8034,4696,6319,-2343,-5511,1878,5511,4320,4272,-10210,3198
541,2,116,0,6085,1383,-5844,-4853,6002,3100,2170,-1383,-3785,1495,3785,3084,2931,-7674,1505
716,3,146,6,6286,1214,-5726,-4849,4978,3792,2979,-1214,-3496,1424,3496,3545,3432,-7878,2208
690,5,301,1,6199,543,-5554,-5167,4389,3223,-3247,-543,-3491,1169,3491,3072,2913,-8858,1452
553,10,207,-4,7689,2326,-6791,-5302,7991,4656,6365,-2326,-5438,1881,5438,4286,4232,-10095,3128
636,3,162,-5,6978,1791,-5868,-4555,6597,4380,7105,-1791,-4474,1701,4474,3959,3879,-8846,2752
574,3,252,13,5003,116,-5147,-5061,2132,2589,-8363,-116,-2278,1035,2278,2535,2374,-7084,1017
598,2,0,8,7580,2583,-6828,-5153,8472,4369,6711,-2583,-5757,2039,5757,4163,4094,-9958,2931
783,4,117,34,7629,2743,-6977,-5235,8540,4551,7261,-2743,-5432,2104,5432,4367,4329,-9341,3338
585,6,270,-7,7664,2364,-6801,-5286,8072,4603,6428,-2364,-5483,1897,5483,4257,4198,-10055,3079
576,18,255,13,7765,3488,-6924,-4531,9524,4983,10320,-3488,-6304,2727,6304,4644,4654,-9478,3930
715,8,70,10,7017,1632,-5984,-4823,6770,4009,5145,-1632,-4978,1600,4978,3769,3660,-9723,2351
550,6,296,7,7665,2524,-6759,-5107,8399,4422,6849,-2524,-5634,2000,5634,4162,4088,-10001,2877
670,3,0,11,7973,2848,-7133,-5378,8956,4795,7218,-2848,-6016,2141,6016,4459,4424,-10455,3375
563,7,286,7,7687,2441,-7046,-5560,8073,4846,6444,-2441,-5329,1907,5329,4503,4488,-9779,3629
585,11,114,-13,8474,3403,-7557,-5591,9601,6029,9487,-3403,-6515,2448,6515,5400,5555,-11125,5457
553,1,45,8,3834,-1405,-4519,-5570,-3310,1872,-32768,1405,-827,655,827,1929,1777,-7178,586
641,8,13,-2,8059,3000,-7105,-5213,9022,5080,8375,-3000,-6063,2261,6063,4691,4697,-10418,3872
615,4,135,-2,2850,-1979,-3988,-5531,-9279,1380,-16384,1979,501,536,-501,1466,1337,-6064,346
626,2,333,-5,7970,3527,-7118,-4793,9734,5205,9890,-3527,-6542,2690,6542,4755,4778,-10098,4079
614,9,84,10,7926,3225,-7077,-5005,9348,5288,9301,-3225,-6223,2446,6223,4748,4774,-10096,4093
652,2,244,6,7206,2387,-6364,-4689,7984,4387,7480,-2387,-5145,1991,5145,4019,3940,-8968,2785
562,4,297,2,7826,2628,-6923,-5248,8589,4727,7112,-2628,-5857,2043,5857,4366,4322,-10358,3254
607,7,40,0,8119,3163,-7184,-5203,9341,5559,8933,-3163,-6269,2354,6269,4845,4881,-10544,4218
640,4,244,-1,5666,1074,-5165,-4331,4294,3239,2779,-1074,-2906,1398,2906,3117,2979,-6781,1670
589,4,63,-3,8003,2746,-7003,-5278,8771,4833,7159,-2746,-5796,2107,5796,4388,4344,-10387,3231
